player,club,age,birth_year,nation,position,shooting__goals,shooting__goals_per_shot,shooting__goals_per_shot_on_target,shooting__minutes_90s,shooting__npxg,shooting__npxg_net,shooting__npxg_per_shot,shooting__pens_att,shooting__pens_made,shooting__shots,shooting__shots_free_kicks,shooting__shots_on_target,shooting__shots_on_target_pct,shooting__shots_on_target_per90,shooting__shots_per90,shooting__xg,shooting__xg_net,passing__assisted_shots,passing__assists,passing__crosses_into_penalty_area,passing__minutes_90s,passing__pass_xa,passing__passes,passing__passes_completed,passing__passes_completed_long,passing__passes_completed_medium,passing__passes_completed_short,passing__passes_into_final_third,passing__passes_into_penalty_area,passing__passes_long,passing__passes_medium,passing__passes_pct,passing__passes_pct_long,passing__passes_pct_medium,passing__passes_pct_short,passing__passes_progressive_distance,passing__passes_short,passing__passes_total_distance,passing__progressive_passes,passing__xg_assist,passing__xg_assist_net,passing_types__corner_kicks,passing_types__corner_kicks_in,passing_types__corner_kicks_out,passing_types__corner_kicks_straight,passing_types__crosses,passing_types__minutes_90s,passing_types__passes,passing_types__passes_blocked,passing_types__passes_completed,passing_types__passes_dead,passing_types__passes_free_kicks,passing_types__passes_live,passing_types__passes_offsides,passing_types__passes_switches,passing_types__through_balls,passing_types__throw_ins,gca__defense,gca__fouled,gca__gca,gca__minutes_90s,gca__passes_dead,gca__passes_live,gca__per90,gca__sca,gca__sca_defense,gca__sca_fouled,gca__sca_passes_dead,gca__sca_passes_live,gca__sca_per90,gca__sca_shots,gca__sca_take_ons,gca__shots,gca__take_ons,defense__blocked_passes,defense__blocked_shots,defense__blocks,defense__challenge_tackles,defense__challenge_tackles_pct,defense__challenges,defense__challenges_lost,defense__clearances,defense__errors,defense__interceptions,defense__minutes_90s,defense__tackles,defense__tackles_att_3rd,defense__tackles_def_3rd,defense__tackles_interceptions,defense__tackles_mid_3rd,defense__tackles_won,possession__carries,possession__carries_distance,possession__carries_into_final_third,possession__carries_into_penalty_area,possession__carries_progressive_distance,possession__dispossessed,possession__minutes_90s,possession__miscontrols,possession__passes_received,possession__progressive_carries,possession__progressive_passes_received,possession__take_ons,possession__take_ons_tackled,possession__take_ons_tackled_pct,possession__take_ons_won,possession__take_ons_won_pct,possession__touches,possession__touches_att_3rd,possession__touches_att_pen_area,possession__touches_def_3rd,possession__touches_def_pen_area,possession__touches_live_ball,possession__touches_mid_3rd,playing_time__games_starts,playing_time__games_subs,playing_time__minutes,playing_time__minutes_90s,playing_time__minutes_pct,playing_time__minutes_per_game,playing_time__minutes_per_start,playing_time__minutes_per_sub,playing_time__on_goals_against,playing_time__on_goals_for,playing_time__on_xg_against,playing_time__on_xg_for,playing_time__plus_minus,playing_time__plus_minus_per90,playing_time__plus_minus_wowy,playing_time__points_per_game,playing_time__unused_subs,playing_time__xg_plus_minus,playing_time__xg_plus_minus_per90,playing_time__xg_plus_minus_wowy,misc__aerials_lost,misc__aerials_won,misc__aerials_won_pct,misc__ball_recoveries,misc__cards_red,misc__cards_yellow,misc__cards_yellow_red,misc__crosses,misc__fouled,misc__fouls,misc__interceptions,misc__minutes_90s,misc__offsides,misc__own_goals,misc__pens_conceded,misc__pens_won,misc__tackles_won,goalkeeping__gk_clean_sheets,goalkeeping__gk_clean_sheets_pct,goalkeeping__gk_games_starts,goalkeeping__gk_goals_against,goalkeeping__gk_goals_against_per90,goalkeeping__gk_losses,goalkeeping__gk_minutes,goalkeeping__gk_pens_allowed,goalkeeping__gk_pens_att,goalkeeping__gk_pens_missed,goalkeeping__gk_pens_save_pct,goalkeeping__gk_pens_saved,goalkeeping__gk_save_pct,goalkeeping__gk_saves,goalkeeping__gk_shots_on_target_against,goalkeeping__gk_ties,goalkeeping__gk_wins,goalkeeping__minutes_90s,goalkeeping_adv__gk_avg_distance_def_actions,goalkeeping_adv__gk_corner_kick_goals_against,goalkeeping_adv__gk_crosses,goalkeeping_adv__gk_crosses_stopped,goalkeeping_adv__gk_crosses_stopped_pct,goalkeeping_adv__gk_def_actions_outside_pen_area,goalkeeping_adv__gk_def_actions_outside_pen_area_per90,goalkeeping_adv__gk_free_kick_goals_against,goalkeeping_adv__gk_goal_kick_length_avg,goalkeeping_adv__gk_goal_kicks,goalkeeping_adv__gk_goals_against,goalkeeping_adv__gk_own_goals_against,goalkeeping_adv__gk_passes,goalkeeping_adv__gk_passes_completed_launched,goalkeeping_adv__gk_passes_launched,goalkeeping_adv__gk_passes_length_avg,goalkeeping_adv__gk_passes_pct_launched,goalkeeping_adv__gk_passes_throws,goalkeeping_adv__gk_pct_goal_kicks_launched,goalkeeping_adv__gk_pct_passes_launched,goalkeeping_adv__gk_pens_allowed,goalkeeping_adv__gk_psnpxg_per_shot_on_target_against,goalkeeping_adv__gk_psxg,goalkeeping_adv__gk_psxg_net,goalkeeping_adv__gk_psxg_net_per90,goalkeeping_adv__minutes_90s,assists,assists_per90,cards_red,cards_yellow,games,games_starts,goals,goals_assists,goals_assists_pens_per90,goals_assists_per90,goals_pens,goals_pens_per90,goals_per90,minutes,minutes_90s,npxg,npxg_per90,npxg_xg_assist,npxg_xg_assist_per90,pens_att,pens_made,progressive_carries,progressive_passes,progressive_passes_received,ranker,xg,xg_assist,xg_assist_per90,xg_per90,xg_xg_assist_per90
Riccardo Calafiori,Arsenal,22,2002,itITA,DF,2,0.20,0.33,10.9,0.9,+1.1,0.09,0,0,10,0,6,60.0,0.55,0.92,0.9,+1.1,6,1,1,10.9,0.7,549,470,19,163,280,41,9,28,188,85.6,67.9,86.7,91.5,1705,306,6903,54,0.3,+0.7,0,0,0,0,11,10.9,549,11,470,65,7,483,1,2,0,58,0,0,2,10.9,0,2,0.18,13,0,0,0,11,1.19,1,1,0,0,6,6,12,18,62.1,29,11,25,0,9,10.9,27,2,15,36,10,19,308,1655,15,3,889,5,10.9,12,394,22,29,13,3,23.1,9,69.2,653,229,30,164,30,653,264,11,8,983,10.9,28.7,52,72,25,12,27,10.4,20.6,+15,+1.37,+0.63,2.05,3,+10.2,+0.93,+0.37,14,22,61.1,35,0,4,0,11,6,16,9,10.9,3,0,0,0,19,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,0.09,0,4,19,11,2,3,0.27,0.27,2,0.18,0.18,983,10.9,0.9,0.08,1.1,0.11,0,0,22,54,29,83,0.9,0.3,0.03,0.08,0.11
Kai Havertz,Arsenal,25,1999,deGER,"FW,MF",9,0.17,0.43,20.8,9.5,-0.5,0.18,0,0,53,0,21,39.6,1.01,2.54,9.5,-0.5,17,3,1,20.8,1.7,519,407,5,95,286,27,9,11,115,78.4,45.5,82.6,84.1,1033,340,4905,61,2.4,+0.6,0,0,0,0,11,20.8,519,11,407,6,1,511,2,0,1,5,0,0,3,20.8,0,2,0.14,42,0,0,0,35,2.02,6,1,1,0,19,4,23,4,26.7,15,11,33,1,6,20.8,16,7,3,22,6,9,418,2012,23,18,954,23,20.8,44,584,35,113,38,24,63.2,9,23.7,785,411,107,92,31,785,287,21,2,"1,875",20.8,54.8,82,88,18,20,40,19.3,34.2,+20,+0.96,+0.09,2.13,1,+14.9,+0.72,+0.10,78,63,44.7,41,0,5,0,11,23,38,6,20.8,14,0,0,0,9,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,3,0.14,0,5,23,21,9,12,0.58,0.58,9,0.43,0.43,"1,875",20.8,9.5,0.46,12.0,0.57,0,0,35,61,113,231,9.5,2.4,0.12,0.46,0.57
Gabriel Jesus,Arsenal,27,1997,brBRA,FW,3,0.15,0.43,6.8,3.0,0.0,0.15,0,0,20,0,7,35.0,1.04,2.96,3.0,0.0,8,0,1,6.8,0.5,203,156,4,41,103,10,9,6,47,76.8,66.7,87.2,80.5,378,128,2030,19,0.7,-0.7,0,0,0,0,7,6.8,203,12,156,3,0,197,3,0,1,3,0,0,4,6.8,0,1,0.59,18,1,1,0,10,2.66,5,1,3,0,9,1,10,4,44.4,9,5,8,0,4,6.8,10,3,4,14,3,6,179,953,6,11,432,13,6.8,13,217,15,57,22,10,45.5,9,40.9,299,165,48,28,9,299,108,6,11,608,6.8,17.8,36,81,11,5,15,5.7,11.4,+10,+1.48,+0.68,1.94,1,+5.7,+0.85,+0.21,18,9,33.3,28,0,4,0,7,10,14,4,6.8,9,0,0,0,6,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.00,0,4,17,6,3,3,0.44,0.44,3,0.44,0.44,608,6.8,3.0,0.44,3.7,0.54,0,0,15,19,57,261,3.0,0.7,0.10,0.44,0.54
Jorginho,Arsenal,32,1991,itITA,MF,0,0.00,N/a,7.8,0.1,-0.1,0.03,0,0,2,0,0,0.0,0.00,0.26,0.1,-0.1,3,0,0,7.8,0.6,474,411,21,168,215,44,10,36,190,86.7,58.3,88.4,91.5,1609,235,6468,48,0.4,-0.4,0,0,0,0,1,7.8,474,5,411,8,7,466,0,1,4,0,0,0,0,7.8,0,0,0.00,12,0,2,0,10,1.54,0,0,0,0,3,0,3,8,40.0,20,12,2,2,7,7.8,12,4,1,19,7,4,302,1498,13,0,874,9,7.8,12,389,12,6,4,2,50.0,1,25.0,522,131,3,93,9,522,304,9,6,704,7.8,20.6,47,72,9,7,14,6.0,13.5,+7,+0.89,-0.03,2.00,19,+7.5,+0.97,+0.37,6,1,14.3,55,0,5,0,1,17,15,7,7.8,0,0,0,0,4,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.00,0,5,15,9,0,0,0.00,0.00,0,0.00,0.00,704,7.8,0.1,0.01,0.5,0.06,0,0,12,48,6,270,0.1,0.4,0.05,0.01,0.06
Jakub Kiwior,Arsenal,24,2000,plPOL,DF,1,0.33,1.00,12.5,0.2,+0.8,0.06,0,0,3,0,1,33.3,0.08,0.24,0.2,+0.8,5,0,0,12.5,0.3,736,673,30,358,278,65,3,53,376,91.4,56.6,95.2,94.6,3392,294,11598,48,0.3,-0.3,0,0,0,0,2,12.5,736,1,673,31,10,704,1,1,3,4,0,0,0,12.5,0,0,0.00,8,0,0,0,7,0.64,0,1,0,0,5,8,13,11,73.3,15,4,58,3,6,12.5,22,2,13,28,7,8,492,1988,7,1,1037,2,12.5,3,615,5,1,5,2,40.0,3,60.0,846,72,5,281,100,846,494,10,7,"1,122",12.5,32.8,66,90,32,15,19,13.8,20.7,+4,+0.32,-0.89,1.82,20,+6.9,+0.55,-0.18,13,11,45.8,31,0,1,0,2,4,10,6,12.5,1,0,0,0,8,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.00,0,1,17,10,1,1,0.08,0.08,1,0.08,0.08,"1,122",12.5,0.2,0.01,0.5,0.04,0,0,5,48,1,289,0.2,0.3,0.03,0.01,0.04
Myles Lewis-Skelly,Arsenal,17,2006,engENG,DF,1,0.33,1.00,15.2,0.2,+0.8,0.05,0,0,3,0,1,33.3,0.07,0.20,0.2,+0.8,8,0,2,15.2,0.5,776,708,14,291,394,66,10,24,317,91.2,58.3,91.8,96.1,2307,410,10525,71,0.4,-0.4,0,0,0,0,10,15.2,776,2,708,111,17,660,5,2,3,94,0,0,0,15.2,0,0,0.00,29,0,6,0,21,1.91,1,1,0,0,3,1,4,10,90.9,11,1,27,0,7,15.2,22,3,10,29,9,14,526,2692,26,7,1663,9,15.2,13,616,37,37,28,9,32.1,12,42.9,905,265,17,178,28,905,476,15,8,"1,369",15.2,40.0,60,80,20,16,26,15.9,21.8,+10,+0.66,-0.44,1.96,9,+6.0,+0.39,-0.47,10,11,52.4,53,2,3,0,10,47,11,7,15.2,0,0,1,0,14,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,0.00,2,3,23,15,1,1,0.07,0.07,1,0.07,0.07,"1,369",15.2,0.2,0.01,0.6,0.04,0,0,37,71,37,308,0.2,0.4,0.03,0.01,0.04
Gabriel Magalhães,Arsenal,26,1997,brBRA,DF,3,0.14,0.60,26.3,2.6,+0.4,0.12,0,0,22,0,5,22.7,0.19,0.84,2.6,+0.4,13,1,0,26.3,1.2,1641,1480,83,782,598,145,8,154,830,90.2,53.9,94.2,96.9,7938,617,25788,126,0.9,+0.1,0,0,0,0,9,26.3,1641,8,1480,80,51,1560,1,8,1,3,0,1,6,26.3,0,4,0.23,35,0,1,0,31,1.33,3,0,1,0,13,29,42,12,75.0,16,4,93,2,16,26.3,25,5,12,41,8,15,1116,4470,22,0,2669,2,26.3,9,1366,10,11,5,1,20.0,4,80.0,1873,225,40,672,189,1873,985,28,0,"2,363",26.3,69.1,84,84,N/a,22,50,23.1,40.3,+28,+1.07,+0.47,2.04,0,+17.2,+0.66,-0.05,37,53,58.9,63,0,4,0,9,19,19,16,26.3,0,0,0,1,15,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,1,0.04,0,4,28,28,3,4,0.15,0.15,3,0.11,0.11,"2,363",26.3,2.6,0.10,3.5,0.13,0,0,10,126,11,322,2.6,0.9,0.03,0.10,0.13
Gabriel Martinelli,Arsenal,23,2001,brBRA,"FW,MF",8,0.15,0.33,25.4,7.4,+0.6,0.14,0,0,55,0,24,43.6,0.94,2.16,7.4,+0.6,40,4,15,25.4,4.7,699,499,26,135,324,11,37,52,193,71.4,50.0,69.9,84.2,1534,385,7113,52,5.0,-1.0,3,3,0,0,92,25.4,699,37,499,15,0,679,5,2,5,12,0,1,7,25.4,0,4,0.27,74,0,3,1,55,2.91,7,8,1,1,15,0,15,7,30.4,23,16,19,0,5,25.4,23,8,9,28,6,15,670,4985,33,64,2620,38,25.4,50,752,124,289,109,60,55.0,33,30.3,994,660,182,102,17,994,247,25,8,"2,290",25.4,67.0,69,81,33,25,45,25.9,38.5,+20,+0.79,-0.41,1.94,2,+12.6,+0.49,-0.54,39,17,30.4,78,0,1,0,92,21,16,5,25.4,8,0,0,0,15,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,4,0.16,0,1,33,25,8,12,0.47,0.47,8,0.31,0.31,"2,290",25.4,7.4,0.29,12.4,0.49,0,0,124,52,289,333,7.4,5.0,0.19,0.29,0.49
Mikel Merino,Arsenal,28,1996,esESP,"MF,FW",7,0.18,0.54,17.6,5.9,+1.1,0.16,0,0,38,0,13,34.2,0.74,2.16,5.9,+1.1,17,2,4,17.6,1.2,577,451,17,128,285,40,24,31,165,78.2,54.8,77.6,86.9,1776,328,6182,69,2.0,0.0,0,0,0,0,13,17.6,577,12,451,5,4,567,5,1,5,1,0,0,4,17.6,0,3,0.23,43,0,2,0,35,2.44,6,0,1,0,13,5,18,20,55.6,36,16,26,2,15,17.6,46,13,7,61,26,28,388,1518,13,4,747,27,17.6,24,504,11,94,23,10,43.5,9,39.1,783,323,79,140,37,783,330,17,11,"1,586",17.6,46.4,57,83,16,17,28,15.5,28.9,+11,+0.62,-0.55,1.79,0,+13.4,+0.76,+0.17,55,59,51.8,86,1,4,1,13,23,41,15,17.6,7,0,0,0,28,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2,0.11,1,4,28,17,7,9,0.51,0.51,7,0.40,0.40,"1,586",17.6,5.9,0.34,7.9,0.45,0,0,11,69,94,350,5.9,2.0,0.11,0.34,0.45
Ethan Nwaneri,Arsenal,17,2007,engENG,"FW,MF",4,0.17,0.44,9.9,1.2,+2.8,0.05,0,0,24,1,9,37.5,0.91,2.41,1.2,+2.8,16,2,6,9.9,1.8,425,342,19,93,216,17,16,37,121,80.5,51.4,76.9,92.3,1216,234,4906,33,1.2,+0.8,27,18,0,0,54,9.9,425,14,342,36,3,386,3,1,3,4,0,0,3,9.9,0,3,0.30,29,0,1,6,15,2.91,2,5,0,0,6,2,8,7,33.3,21,14,4,1,2,9.9,11,3,4,13,4,7,365,2852,25,17,1329,17,9.9,23,398,46,113,62,19,30.6,37,59.7,544,339,44,44,3,544,167,11,15,895,9.9,26.2,34,65,12,4,16,5.4,14.5,+12,+1.21,+0.39,1.85,10,+9.1,+0.91,+0.33,8,4,33.3,34,0,1,0,54,5,9,2,9.9,6,0,0,0,7,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,2,0.20,0,1,26,11,4,6,0.60,0.60,4,0.40,0.40,895,9.9,1.2,0.12,2.4,0.24,0,0,46,33,113,388,1.2,1.2,0.12,0.12,0.24
