player;club;position;minutes;cluster
Declan Rice;Arsenal;MF;2,825;0
Gabriel Magalhães;Arsenal;DF;2,363;0
Jurriën Timber;Arsenal;DF;2,417;0
Thomas Partey;Arsenal;MF,DF;2,797;0
William Saliba;Arsenal;DF;3,039;0
Amadou Onana;Aston Villa;MF;1,617;0
Boubacar Kamara;Aston Villa;MF;1,726;0
Ezri Konsa;Aston Villa;DF;2,936;0
Ian Maatsen;Aston Villa;DF;1,139;0
Jacob Ramsey;Aston Villa;FW,MF;1,623;0
John McGinn;Aston Villa;MF,FW;2,223;0
Lucas Digne;Aston Villa;DF;2,351;0
Matty Cash;Aston Villa;DF;2,070;0
Pau Torres;Aston Villa;DF;2,020;0
Youri Tielemans;Aston Villa;MF;3,026;0
Dean Huijsen;Bournemouth;DF;2,427;0
Illia Zabarnyi;Bournemouth;DF;3,109;0
Lewis Cook;Bournemouth;MF,DF;2,978;0
Milos Kerkez;Bournemouth;DF;3,336;0
Ryan Christie;Bournemouth;MF;2,117;0
Tyler Adams;Bournemouth;MF;1,965;0
Christian Nørgaard;Brentford;MF;2,819;0
Ethan Pinnock;Brentford;DF;1,913;0
Keane Lewis-Potter;Brentford;DF,FW;3,093;0
Mikkel Damsgaard;Brentford;MF,FW;2,911;0
Nathan Collins;Brentford;DF;3,420;0
Sepp van den Berg;Brentford;DF;2,586;0
Vitaly Janelt;Brentford;MF;2,254;0
Carlos Baleba;Brighton;MF;2,661;0
Jack Hinshelwood;Brighton;MF,DF;1,842;0
Jan Paul van Hecke;Brighton;DF;2,958;0
Joël Veltman;Brighton;DF;1,697;0
Lewis Dunk;Brighton;DF;2,083;0
Mats Wieffer;Brighton;DF,MF;1,015;0
Pervis Estupiñán;Brighton;DF;2,402;0
Yasin Ayari;Brighton;MF;1,965;0
Jadon Sancho;Chelsea;FW;1,764;0
Levi Colwill;Chelsea;DF;3,149;0
Malo Gusto;Chelsea;DF;1,862;0
Marc Cucurella;Chelsea;DF;2,988;0
Moisés Caicedo;Chelsea;MF,DF;3,351;0
Tosin Adarabioyo;Chelsea;DF;1,409;0
Adam Wharton;Crystal Palace;MF;1,318;0
Daichi Kamada;Crystal Palace;MF;1,564;0
Daniel Muñoz;Crystal Palace;DF;3,228;0
Jefferson Lerma;Crystal Palace;MF,DF;2,274;0
Marc Guéhi;Crystal Palace;DF;3,059;0
Maxence Lacroix;Crystal Palace;DF;3,116;0
Tyrick Mitchell;Crystal Palace;DF;3,092;0
Will Hughes;Crystal Palace;MF;2,108;0
Abdoulaye Doucouré;Everton;MF;2,564;0
Ashley Young;Everton;DF;1,875;0
Idrissa Gana Gueye;Everton;MF;3,063;0
Jack Harrison;Everton;FW;2,076;0
James Garner;Everton;MF,DF;1,594;0
James Tarkowski;Everton;DF;2,922;0
