player;club;position;minutes;age;goals;assists;xg;xg_assist;npxg;defense__tackles;defense__interceptions;passing__passes;passing__passes_completed;passing__progressive_passes;possession__carries;possession__progressive_carries;goals_p90;assists_p90;xg_p90;xg_assist_p90;npxg_p90;cluster
Joshua Acheampong;Chelsea;DF;170;18;0;0;2;0;2;2;1;124;104;8;106;0;0,0;0,0;1,059;0,0;1,059;1
Tyler Adams;Bournemouth;MF;1,965;25;0;3;16;10;16;83;32;1069;902;76;663;14;0,0;137,405;732,824;458,015;732,824;0
Tosin Adarabioyo;Chelsea;DF;1,409;26;1;1;9;2;9;17;11;1184;1079;42;777;5;63,875;63,875;574,876;127,75;574,876;0
Simon Adingra;Brighton;FW,MF;1,097;22;2;2;25;25;25;23;8;382;290;18;366;50;164,084;164,084;2051,048;2051,048;2051,048;1
Emmanuel Agbadou;Wolves;DF;1,410;27;1;0;8;2;8;30;12;1001;855;31;758;6;63,83;0,0;510,638;127,66;510,638;1
Ola Aina;Nott'ham Forest;DF;2,995;27;2;1;6;14;6;55;33;1352;994;107;749;67;60,1;30,05;180,301;420,701;180,301;0
Rayan Aït-Nouri;Wolves;DF;3,109;23;4;7;27;55;27;89;26;1721;1449;108;1129;89;115,793;202,638;781,602;1592,152;781,602;0
Kristoffer Ajer;Brentford;DF;1,438;26;0;0;10;12;10;26;12;644;504;56;387;27;0,0;0,0;625,869;751,043;625,869;1
Manuel Akanji;Manchester City;DF;2,014;29;0;0;16;4;16;19;9;1744;1632;158;1254;46;0,0;0,0;714,995;178,749;714,995;0
Nathan Aké;Manchester City;DF;678;29;0;0;2;0;2;9;3;542;509;50;403;12;0,0;0,0;0,265;0,0;0,265;1
Carlos Alcaraz;Everton;FW,MF;764;21;2;3;17;16;17;11;5;278;224;42;211;19;0,236;0,353;2,003;1,885;2,003;1
Trent Alexander-Arnold;Liverpool;DF;2,365;25;3;6;19;73;19;72;31;1971;1448;232;1184;51;114,165;228,33;723,044;2778,013;723,044;0
Alisson;Liverpool;GK;2,508;31;0;0;0;6;0;1;0;959;794;1;658;0;0,0;0,0;0,0;215,311;0,0;1
Miguel Almirón;Newcastle Utd;FW;157;30;0;0;5;3;5;3;0;66;54;6;54;3;0,0;0,0;2,866;1,72;2,866;1
Edson Álvarez;West Ham;MF;1,772;26;0;1;4;8;4;50;18;1003;861;85;687;24;0,0;50,79;203,16;406,321;203,16;0
Harry Amass;Manchester Utd;DF;346;17;0;0;1;0;1;6;2;181;149;7;132;9;0,0;0,0;0,26;0,0;0,26;1
Joachim Andersen;Fulham;DF;2,583;28;0;0;10;5;10;27;34;2000;1654;112;1350;16;0,0;0,0;348,432;174,216;348,432;0
Elliot Anderson;Nott'ham Forest;MF;2,728;21;2;6;21;33;21;92;31;1386;1085;143;932;52;65,982;197,947;692,815;1088,71;692,815;0
André;Wolves;MF;2,472;23;0;0;4;8;4;91;37;1342;1247;109;912;10;0,0;0,0;145,631;291,262;145,631;0
Michail Antonio;West Ham;FW;836;34;1;1;22;16;22;2;0;188;114;18;173;29;0,108;0,108;2,368;1,722;2,368;1
Antony;Manchester Utd;DF,MF;141;24;0;0;10;1;10;6;2;69;56;6;60;5;0,0;0,0;6,383;0,638;6,383;1
Julian Araujo;Bournemouth;DF;497;22;0;0;0;1;0;10;6;225;178;14;126;4;0,0;0,0;0,0;0,181;0,0;1
Cameron Archer;Southampton;FW;1,441;23;2;0;57;5;49;13;2;251;205;14;226;22;124,913;0,0;3560,028;312,283;3060,375;1
Alphonse Areola;West Ham;GK;2,260;31;0;0;0;0;0;2;0;989;688;1;601;0;0,0;0,0;0,0;0,0;0,0;1
Joe Aribo;Southampton;MF,DF;2,013;28;3;0;27;16;27;47;20;1046;929;75;745;36;134,128;0,0;1207,154;715,35;1207,154;0
Adam Armstrong;Southampton;FW,MF;1,248;27;2;2;33;12;23;12;3;288;231;21;235;25;144,231;144,231;2379,808;865,385;1658,654;1
Kepa Arrizabalaga;Bournemouth;GK;2,790;29;0;0;1;0;1;1;0;1027;752;2;621;0;0,0;0,0;32,258;0,0;32,258;1
Marco Asensio;Aston Villa;MF;743;28;3;1;44;10;29;7;2;313;242;45;242;22;0,363;0,121;5,33;1,211;3,513;1
Taiwo Awoniyi;Nott'ham Forest;FW;416;26;1;0;21;1;21;6;0;96;61;7;90;6;0,216;0,0;4,543;0,216;4,543;1
Yasin Ayari;Brighton;MF;1,965;20;2;1;24;23;24;59;20;973;793;75;655;30;91,603;45,802;1099,237;1053,435;1099,237;0
Jordan Ayew;Leicester City;FW,MF;1,638;32;5;0;32;11;24;27;12;540;401;46;479;49;274,725;0,0;1758,242;604,396;1318,681;1
Benoît Badiashile;Chelsea;DF;334;23;0;0;0;0;0;9;6;304;273;17;177;3;0,0;0,0;0,0;0,0;0,0;1
Leon Bailey;Aston Villa;FW,MF;1,139;26;1;2;17;15;17;7;3;390;277;35;348;58;79,017;158,033;1343,284;1185,25;1343,284;1
Carlos Baleba;Brighton;MF;2,661;20;3;1;31;13;31;79;46;1314;1149;118;971;43;101,466;33,822;1048,478;439,684;1048,478;0
Ross Barkley;Aston Villa;MF;581;30;3;1;18;6;18;14;10;395;337;36;277;15;0,465;0,155;2,788;0,929;2,788;1
Harvey Barnes;Newcastle Utd;FW;1,755;26;9;4;72;40;72;16;6;607;474;83;561;93;461,538;205,128;3692,308;2051,282;3692,308;2
Calvin Bassey;Fulham;DF;3,074;24;1;0;10;1;10;54;20;2155;1934;116;1571;39;29,278;0,0;292,778;29,278;292,778;0
Altay Bayındır;Manchester Utd;GK;360;26;0;0;0;0;0;0;0;152;92;0;110;0;0,0;0,0;0,0;0,0;0,0;1
Jan Bednarek;Southampton;DF;2,531;28;2;0;7;5;7;36;56;1687;1564;60;1046;5;71,118;0,0;248,913;177,795;248,913;0
Armel Bella Kotchap;Southampton;DF;331;22;0;0;3;0;3;7;5;224;202;5;186;0;0,0;0,0;0,816;0,0;0,816;1
Jean-Ricner Bellegarde;Wolves;MF,FW;1,677;26;2;7;15;38;15;39;10;599;475;43;528;52;107,335;375,671;805,009;2039,356;805,009;0
Rodrigo Bentancur;Tottenham;MF;1,645;27;2;0;13;4;13;40;40;1076;946;100;764;28;109,422;0,0;711,246;218,845;711,246;0
